EXECTIME 2 3 1 9 8525008
EXECTIME 2 3 1 3 8525056
EXECTIME 2 3 1 1 8525056
PARTITION 2 3 3 4070 1070
EXECTIME 2 3 1 8 8525008
EXECTIME 2 3 1 5 8525008
EXECTIME 2 3 1 11 8525008
EXECTIME 2 3 1 10 8525008
EXECTIME 2 3 1 6 8525008
EXECTIME 2 3 1 4 8525008
EXECTIME 2 3 1 2 8525008
PARTITION 2 3 8 4003 1052
PARTITION 2 3 9 3637 968
EXECTIME 2 3 1 7 8525008
EXECTIME 2 3 1 0 8525008
PARTITION 2 3 5 4070 1070
PARTITION 2 3 1 3762 991
PARTITION 2 3 11 3845 1012
PARTITION 2 3 0 4070 1070
PARTITION 2 3 6 4068 1069
PARTITION 2 3 2 3897 1026
PARTITION 2 3 4 4071 1070
PARTITION 2 3 10 3867 1019
PARTITION 2 3 7 3952 1036
